Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
T-Series,Music,T-Series,India,IN,Music,Mar,245000000,228000000000.0,20082,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,13.0
YouTube Movies,Film & Animation,youtubemovies,United States,US,Games,Mar,170000000,0.0,1,12.0,0.0,0.05,0.04,0.58,100000.0,2006.0,5.0
MrBeast,Entertainment,MrBeast,United States,US,Entertainment,Feb,166000000,28368841870.0,741,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,8000000.0,2012.0,20.0
Cocomelon - Nursery Rhymes,Education,Cocomelon - Nursery Rhymes,United States,US,Education,Sep,162000000,164000000000.0,966,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,2006.0,1.0
SET India,Shows,SET India,India,IN,Entertainment,Sep,159000000,148000000000.0,116536,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,2006.0,20.0
Music,unknown,Music,Unknown,,Music,Sep,119000000,0.0,0,17149643.514538404,0.0,0.0,0.0,0.0,1.0,2013.0,24.0
ýýý Kids Diana Show,People & Blogs,ýýý Kids Diana Show,United States,US,Entertainment,May,112000000,93247040539.0,1111,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,100000.0,2015.0,12.0
PewDiePie,Gaming,PewDiePie,Japan,JP,Entertainment,Apr,111000000,29058044447.0,4716,39184000.0,9800.0,156700.0,117600.0,1900000.0,400000.0,2010.0,29.0
Like Nastya,People & Blogs,Like Nastya Vlog,Russia,RU,People,Jan,106000000,90479060027.0,493,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,14.0
Vlad and Niki,Entertainment,Vlad and Niki,United States,US,Entertainment,Apr,98900000,77180169894.0,574,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,600000.0,2018.0,23.0
Zee Music Company,Music,Zee Music Company,India,IN,Music,Mar,96700000,57856289381.0,8548,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,2014.0,12.0
WWE,Sports,WWE,United States,US,Sports,May,96000000,77428473662.0,70127,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,600000.0,2007.0,11.0
Gaming,unknown,Gaming,Unknown,,Games,Dec,93600000,0.0,0,477713721.40038157,0.0,0.0,0.0,0.0,1484.4212646300505,2013.0,15.0
BLACKPINK,People & Blogs,BLACKPINK,South Korea,KR,Music,Jun,89800000,32144597566.0,543,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,700000.0,2016.0,29.0
Goldmines,Film & Animation,goldmines,Unknown,,Music,Aug,86900000,24118230580.0,1,18.0,0.0,0.07,0.05,0.86,700000.0,2006.0,15.0
Sony SAB,Shows,Sony SAB,India,IN,Entertainment,Aug,83000000,101000000000.0,71270,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,1100000.0,2007.0,4.0
5-Minute Crafts,Howto & Style,5-Minute Crafts 2.0,United Kingdom,GB,Entertainment,Jul,80100000,26236790209.0,1,1.0,0.0,0.0,0.0,0.05,700000.0,2020.0,27.0
BANGTANTV,Music,BANGTANTV,South Korea,KR,Music,Dec,75600000,20826993957.0,2281,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,2012.0,17.0
Sports,unknown,sports,United States,US,Entertainment,Jan,75000000,0.0,3,16.0,0.0,0.06,0.05,0.77,700000.0,2006.0,30.0
Justin Bieber,Music,Justin Bieber,Canada,CA,Music,Jan,71600000,30608119724.0,249,176326000.0,44100.0,705300.0,529000.0,8500000.0,100000.0,2007.0,15.0
HYBE LABELS,Music,HYBE LABELS,South Korea,KR,Music,Jun,71300000,28634566938.0,1337,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,900000.0,2008.0,4.0
Zee TV,Entertainment,Zee TV,India,IN,Entertainment,Dec,70500000,73139054467.0,129204,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,900000.0,2005.0,11.0
Pinkfong Baby Shark - Kids' Songs & Stories,Education,Pinkfong Baby Shark - Kids' Songs & Stories,United States,US,Education,Dec,68200000,38843229963.0,2865,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,600000.0,2011.0,14.0
Canal KondZilla,Music,Canal KondZilla,Brazil,BR,Music,Mar,66500000,36775585925.0,2572,447223000.0,0.0,0.0,0.0,0.0,100000.0,2012.0,21.0
ChuChu TV Nursery Rhymes & Kids Songs,Education,ChuChu TV Nursery Rhymes & Kids Songs,India,IN,Education,Feb,65900000,45757850229.0,633,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,500000.0,2013.0,9.0
Shemaroo Filmi Gaane,Music,Shemaroo Filmi Gaane,India,IN,Music,Jun,65600000,28648024439.0,8502,254961000.0,63700.0,1000000.0,764900.0,12200000.0,400000.0,2010.0,11.0
Colors TV,Shows,Colors TV,India,IN,Entertainment,Jun,64600000,61510906457.0,112915,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,2008.0,13.0
T-Series Bhakti Sagar,Music,T- SERIES BHAKTI SAGAR,India,IN,Music,Aug,61000000,29533230328.0,13,10.0,0.0,0.04,0.03,0.48,100000.0,2018.0,3.0
Dude Perfect,Sports,Dude Perfect,United States,US,Sports,Mar,59500000,16241549158.0,389,141200000.0,35300.0,564800.0,423600.0,6800000.0,100000.0,2009.0,17.0
Movieclips,Film & Animation,Movieclips,United States,US,Film,Apr,59500000,59316472754.0,39113,114668000.0,28700.0,458700.0,344000.0,5500000.0,100000.0,2006.0,28.0
Tips Official,Music,Tips Official,India,IN,Music,May,59300000,33431802698.0,4741,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,600000.0,2007.0,22.0
El Reino Infantil,Music,El Reino Infantil,Argentina,AR,Music,Jun,58400000,57271630846.0,1510,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,600000.0,2011.0,2.0
Wave Music,Music,Wave Music,India,IN,Music,Oct,58000000,40602020243.0,19487,232025000.0,58000.0,928100.0,696100.0,11100000.0,500000.0,2014.0,29.0
Aaj Tak,News & Politics,Aaj Tak,India,IN,News,Aug,57600000,25307753534.0,283775,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,500000.0,2009.0,27.0
Sony Music India,Music,Sony Music India,India,IN,Music,Sep,57200000,28837144516.0,3882,259310000.0,64800.0,1000000.0,777900.0,12400000.0,300000.0,2009.0,2.0
EminemMusic,Music,EminemMusic,United States,US,Music,Feb,56900000,27073872856.0,156,260193000.0,65000.0,1000000.0,780600.0,12500000.0,300000.0,2007.0,9.0
Marshmello,Entertainment,Marshmello,United States,US,Music,Apr,56400000,14696003229.0,436,112100000.0,28000.0,448400.0,336300.0,5400000.0,100000.0,2015.0,6.0
YRF,Film & Animation,YRF,India,IN,Music,Jun,54600000,35302243691.0,3707,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,500000.0,2006.0,7.0
LooLoo Kids - Nursery Rhymes and Children's Songs,Music,LooLoo Kids - Nursery Rhymes and Children's ï¿½,Unknown,,,Nov,54000000,32312431239.0,11,159.0,0.04,0.64,0.48,8.0,1.0,2016.0,29.0
Ed Sheeran,Music,Ed Sheeran,United Kingdom,GB,Music,Aug,53500000,30367676736.0,383,202720000.0,50700.0,810900.0,608200.0,9700000.0,100000.0,2006.0,8.0
Infobells - Hindi,Education,Infobells - Hindi,India,IN,Education,Jun,53300000,30516172739.0,577,815949000.0,204000.0,3300000.0,2400000.0,39200000.0,1600000.0,2014.0,6.0
Taylor Swift,Music,Taylor Swift,United States,US,Music,Sep,52900000,29884657286.0,216,528392000.0,132100.0,2100000.0,1600000.0,25400000.0,800000.0,2006.0,20.0
Ariana Grande,Music,Ariana Grande,United States,US,Music,Jan,52700000,24004842608.0,147,160216000.0,40100.0,640900.0,480600.0,7700000.0,100000.0,2007.0,22.0
BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,BillionSurpriseToys  - Nursery Rhymes & Cartï¿½,United States,US,Education,Oct,52200000,9877365274.0,847,266747000.0,66700.0,1100000.0,800200.0,12800000.0,600000.0,2013.0,25.0
JuegaGerman,Gaming,JuegaGerman,Chile,CL,Games,May,48100000,14631710289.0,2052,66388000.0,16600.0,265600.0,199200.0,3200000.0,200000.0,2013.0,19.0
Billie Eilish,Music,Billie Eilish,United States,US,Music,Feb,47900000,13626331061.0,65,146862000.0,36700.0,587400.0,440600.0,7000000.0,200000.0,2013.0,6.0
Get Movies,Entertainment,Get Movies,Russia,RU,Film,Dec,47500000,30788679536.0,3322,306540000.0,76600.0,1200000.0,919600.0,14700000.0,700000.0,2006.0,16.0
Shemaroo,Entertainment,Shemaroo,India,IN,Entertainment,Sep,47400000,22519705183.0,11451,232744000.0,58200.0,931000.0,698200.0,11200000.0,500000.0,2007.0,1.0
Badabun,Entertainment,badabun,Unknown,,Music,Jul,46800000,19398045702.0,1,440.0,0.11,2.0,1.0,21.0,75.0,2007.0,21.0
SonyMusicIndiaVEVO,Music,SonyMusicIndiaVEVO,United States,US,Music,Sep,46600000,27286058807.0,3444,314505000.0,78600.0,1300000.0,943500.0,15100000.0,400000.0,2009.0,2.0
A4,Gaming,aefour,Cuba,CU,People,Mar,46300000,22936630813.0,1,94.0,0.02,0.38,0.28,5.0,10.0,2006.0,11.0
Bad Bunny,Music,badbunny,Unknown,,Sports,Nov,46100000,30686342319.0,1,1.0,0.0,0.0,0.0,0.05,300000.0,2005.0,15.0
Fernanfloo,Gaming,Fernanfloo,El Salvador,SV,Games,May,46100000,10323391593.0,543,33842000.0,8500.0,135400.0,101500.0,1600000.0,200000.0,2011.0,2.0
Voot Kids,Entertainment,Voot Kids,India,IN,Entertainment,Nov,45500000,21388725229.0,4660,233988000.0,58500.0,936000.0,702000.0,11200000.0,400000.0,2016.0,23.0
Felipe Neto,Entertainment,Felipe Neto,Brazil,BR,Entertainment,May,45200000,16602198273.0,4331,130359000.0,32600.0,521400.0,391100.0,6300000.0,200000.0,2006.0,16.0
Vocï¿½ï¿½ï¿½,Entertainment,Vocï¿½ï¿½ï¿½,Brazil,BR,Entertainment,Sep,44700000,7828610828.0,1558,48032000.0,12000.0,192100.0,144100.0,2300000.0,100000.0,2013.0,1.0
HAR PAL GEO,Entertainment,HAR PAL GEO,Pakistan,PK,Entertainment,Jan,44600000,41139050371.0,100755,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,2008.0,2.0
BRIGHT SIDE,Howto & Style,brightside,Unknown,,,Nov,44500000,10708531817.0,0,419302057.14125377,0.0,0.0,0.0,0.0,1.0,2005.0,18.0
Katy Perry,Music,Katy Perry,United States,US,Music,Jun,44200000,25458952022.0,128,134242000.0,33600.0,537000.0,402700.0,6400000.0,100000.0,2008.0,1.0
whinderssonnunes,Comedy,whinderssonnunes,Brazil,BR,Comedy,Jan,44200000,4274709210.0,558,26683000.0,6700.0,106700.0,80100.0,1300000.0,1.0,2013.0,21.0
ABS-CBN Entertainment,People & Blogs,ABS-CBN Entertainment,Philippines,PH,Entertainment,Jul,44200000,50292540392.0,193890,176629000.0,44200.0,706500.0,529900.0,8500000.0,300000.0,2008.0,16.0
Alan Walker,Music,alanwalker,Thailand,TH,Film,May,43700000,12884264778.0,8,22.0,0.01,0.09,0.07,1.0,200000.0,2006.0,12.0
HolaSoyGerman.,Entertainment,holasoygerman. 2,Unknown,,People,May,43600000,4831311245.0,6,4.0,0.0,0.02,0.01,0.19,1100000.0,2016.0,27.0
Shakira,People & Blogs,Shakira,Colombia,CO,Howto,Oct,43500000,27568757295.0,326,353412000.0,88400.0,1400000.0,1100000.0,17000000.0,500000.0,2005.0,16.0
ýýýýýýýý ýý ýýýýýýýýýýýýýý,Film & Animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,Russia,RU,Education,May,43200000,36458726976.0,1478,303780000.0,75900.0,1200000.0,911300.0,14600000.0,300000.0,2011.0,31.0
ARY Digital HD,Entertainment,ARY Digital HD,Pakistan,PK,Entertainment,Jul,43200000,37939780685.0,109871,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,900000.0,2016.0,11.0
Speed Records,Music,Speed Records,India,IN,Music,Nov,42500000,26820902622.0,10938,159757000.0,39900.0,639000.0,479300.0,7700000.0,100000.0,2012.0,22.0
Masha and The Bear,Shows,Masha and The Bear,United States,US,Film,Sep,42400000,24519022988.0,1218,670459000.0,167600.0,2700000.0,2000000.0,32200000.0,1000000.0,2014.0,17.0
Like Nastya Show,Entertainment,Like Nastya Show,United States,US,Entertainment,Nov,42400000,19547696190.0,618,53202000.0,13300.0,212800.0,159600.0,2600000.0,100000.0,2017.0,14.0
Rihanna,Entertainment,Rihanna,Barbados,BB,Music,Nov,41900000,22477745835.0,84,182926000.0,45700.0,731700.0,548800.0,8800000.0,100000.0,2005.0,6.0
Ishtar Music,Trailers,Ishtar Music,India,IN,Music,Sep,41400000,17608931161.0,4510,180942000.0,45200.0,723800.0,542800.0,8700000.0,400000.0,2005.0,22.0
Kimberly Loaiza,People & Blogs,Kimberly Loaiza,Mexico,MX,People,Nov,41300000,5603111948.0,291,136745000.0,34200.0,547000.0,410200.0,6600000.0,400000.0,2016.0,16.0
Little Baby Bum - Nursery Rhymes & Kids Songs,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,United States,US,Education,Jun,40900000,39450824833.0,2423,98775000.0,24700.0,395100.0,296300.0,4700000.0,100000.0,2011.0,22.0
Luisito Comunica,Comedy,Luis Arturo Villar Sudek,Mexico,MX,Comedy,Jun,40600000,8670473639.0,0,1716988202.9198813,0.0,0.0,0.0,0.0,700000.0,2010.0,18.0
elrubiusOMG,Gaming,elrubiusOMG,Unknown,,Entertainment,Dec,40400000,7410536668.0,703,5773000.0,1400.0,23100.0,17300.0,277100.0,1100000.0,2011.0,20.0
Toys and Colors,Entertainment,Toys and colors,Unknown,,People,Jun,40300000,47005053156.0,4,5.0,0.0,0.02,0.02,0.24,200000.0,2018.0,14.0
shfa2 - ï¿½ï¿½,People & Blogs,shfa2 - ï¿½ï¿½,United Arab Emirates,AE,People,Nov,39700000,23884824160.0,1596,247731000.0,61900.0,990900.0,743200.0,11900000.0,300000.0,2017.0,6.0
LUCCAS NETO - LUCCAS TOON,People & Blogs,LUCCAS NETO- LUCCAS TOON,Unknown,,Games,Mar,39400000,22302547082.0,1,2.0,0.0,0.01,0.01,0.1,200000.0,2021.0,25.0
CarryMinati,Comedy,CarryMinati,India,IN,Comedy,Oct,39200000,3294013141.0,186,78688000.0,19700.0,314800.0,236100.0,3800000.0,700000.0,2014.0,30.0
XXXTENTACION,Music,XXXTENTACION,United States,US,Music,Jun,39200000,10507474316.0,133,58362000.0,14600.0,233400.0,175100.0,2800000.0,100000.0,2015.0,23.0
Super Simple Songs - Kids Songs,Education,Super Simple Songs - Kids Songs,Canada,CA,Education,Sep,39200000,44900897958.0,744,560756000.0,140200.0,2200000.0,1700000.0,26900000.0,400000.0,2006.0,8.0
Mikecrack,Gaming,Mikecrack,Spain,ES,Games,Jul,39100000,16118181673.0,1876,264108000.0,66000.0,1100000.0,792300.0,12700000.0,800000.0,2015.0,13.0
WorkpointOfficial,Entertainment,WorkpointOfficial,Thailand,TH,Entertainment,Nov,39000000,36131228583.0,72580,130461000.0,32600.0,521800.0,391400.0,6300000.0,200000.0,2012.0,5.0
GR6 EXPLODE,Music,GR6 EXPLODE,Brazil,BR,Music,Aug,38900000,25154232306.0,3043,1635000000.0,408700.0,6500000.0,4900000.0,78500000.0,100000.0,2014.0,5.0
TEDx Talks,Nonprofits & Activism,TEDx Talks,United States,US,Nonprofit,Jun,38600000,7339333120.0,200933,45638000.0,11400.0,182600.0,136900.0,2200000.0,100000.0,2009.0,23.0
shfa,People & Blogs,ýýýýýýýýýý ýýýýýý,Saudi Arabia,SA,Games,May,38400000,21528116909.0,982,1589000.0,397.0,6400.0,4800.0,76300.0,2000.0,2018.0,24.0
Goldmines Gaane Sune Ansune,Music,Goldmines Gaane Sune Ansune,India,IN,Music,Aug,38300000,16718192386.0,3532,814756000.0,203700.0,3300000.0,2400000.0,39100000.0,400000.0,2015.0,24.0
One Direction,Music,21 Savage,United States,US,Music,Jun,38200000,13598903820.0,11,6348.0,2.0,25.0,19.0,305.0,100.0,2016.0,26.0
TheEllenShow,Entertainment,TheEllenShow,United States,US,Entertainment,Nov,38200000,22756581750.0,15672,21804000.0,5500.0,87200.0,65400.0,1000000.0,200000.0,2006.0,21.0
Sony PAL,Shows,Sony PAL,India,IN,Entertainment,May,38200000,28519339489.0,24089,415914000.0,104000.0,1700000.0,1200000.0,20000000.0,500000.0,2014.0,9.0
Daddy Yankee,Music,Daddy Yankee,United States,US,Music,May,38000000,22731415608.0,505,205594000.0,51400.0,822400.0,616800.0,9900000.0,100000.0,2011.0,16.0
Vlad vï¿½ï¿½ï,unknown,Vlad vï¿½ï¿½ï,United States,US,Entertainment,Jul,37900000,23510152352.0,515,244093000.0,61000.0,976400.0,732300.0,11700000.0,200000.0,2018.0,20.0
Like Nastya ESP,Entertainment,Like Nastya ESP,United States,US,Entertainment,Apr,37600000,18208196857.0,743,321026000.0,80300.0,1300000.0,963100.0,15400000.0,700000.0,2017.0,22.0
ýýýýýýýýýýýý one31,Entertainment,ýýýýýýýýýýýý one31,Thailand,TH,Entertainment,Jan,37500000,27262462114.0,117152,140754000.0,35200.0,563000.0,422300.0,6800000.0,300000.0,2013.0,10.0
Jkk Entertainment,Comedy,Jkk Entertainment,India,IN,Comedy,Mar,37200000,16402066717.0,220,49861000.0,12500.0,199400.0,149600.0,2400000.0,100000.0,2017.0,20.0
ABP NEWS,People & Blogs,ABP NEWS,India,IN,News,Jun,37000000,13102611515.0,301308,267060000.0,66800.0,1100000.0,801200.0,12800000.0,400000.0,2012.0,1.0
Maria Clara & JP,People & Blogs,Maria Clara & JP,Brazil,BR,Entertainment,Sep,37000000,24188861917.0,744,251449000.0,62900.0,1000000.0,754300.0,12100000.0,300000.0,2015.0,6.0
Bruno Mars,Music,Bruno Mars,United States,US,Music,Sep,36700000,19378155425.0,99,175243000.0,43800.0,701000.0,525700.0,8400000.0,200000.0,2006.0,19.0
Maroon 5,Music,Maroon 5,United States,US,Music,Mar,36600000,22553923546.0,171,152825000.0,38200.0,611300.0,458500.0,7300000.0,200000.0,2006.0,9.0
Ultra Bollywood,Trailers,Ultra Bollywood,India,IN,Entertainment,Oct,36600000,15653786446.0,9168,131462000.0,0.0,0.0,0.0,0.0,200000.0,2009.0,21.0
PowerKids TV,Film & Animation,PowerKids TV,Unknown,,Film,Aug,36500000,18961241905.0,5621,318702000.0,79700.0,1300000.0,956100.0,15300000.0,600000.0,2014.0,6.0
YouTube,News & Politics,YouTube,United States,US,Entertainment,Jan,36300000,3010784935.0,744,21103000.0,5300.0,84400.0,63300.0,1000000.0,300000.0,2014.0,1.0
News,unknown,News,Unknown,,,Sep,36300000,0.0,0,57945329.33137458,0.0,0.0,0.0,0.0,200000.0,2013.0,9.0
Ozuna,Music,Ozuna,Unknown,,Music,Mar,36200000,23355801606.0,196,169242000.0,42300.0,677000.0,507700.0,8100000.0,100000.0,2016.0,24.0
